r,t,y,NewCapacity
REGION1,DEMPUBGWTPHL_VI,2036,99999.0
REGION1,DEMPUBGWTPHL_VI,2037,99999.0
REGION1,DEMPUBGWTPHL_VI,2038,99999.0
REGION1,DEMPUBGWTPHL_VI,2039,99999.0
REGION1,DEMPUBGWTPHL_VI,2040,99999.0
REGION1,DEMPUBSURPHL_VI,2018,99999.0
REGION1,DEMPUBSURPHL_VI,2019,99999.0
REGION1,DEMPUBSURPHL_VI,2020,99999.0
REGION1,DEMPUBSURPHL_VI,2021,99999.0
REGION1,DEMPUBSURPHL_VI,2022,99999.0
REGION1,DEMPUBSURPHL_VI,2023,99999.0
REGION1,DEMPUBSURPHL_VI,2024,99999.0
REGION1,DEMPUBSURPHL_VI,2025,99999.0
REGION1,DEMPUBSURPHL_VI,2026,99999.0
REGION1,DEMPUBSURPHL_VI,2027,99999.0
REGION1,DEMPUBSURPHL_VI,2028,99999.0
REGION1,DEMPUBSURPHL_VI,2029,99999.0
REGION1,DEMPUBSURPHL_VI,2030,99999.0
REGION1,DEMPUBSURPHL_VI,2031,99999.0
REGION1,DEMPUBSURPHL_VI,2032,99999.0
REGION1,DEMPUBSURPHL_VI,2033,99999.0
REGION1,DEMPUBSURPHL_VI,2034,99999.0
REGION1,DEMPUBSURPHL_VI,2035,99999.0
REGION1,DEMPUBSURPHL_VI,2036,99999.0
REGION1,DEMPUBSURPHL_VI,2037,99999.0
REGION1,DEMPUBSURPHL_VI,2038,99999.0
REGION1,DEMPUBSURPHL_VI,2039,99999.0
REGION1,DEMPUBSURPHL_VI,2040,99999.0
REGION1,DEMPWRCOA,2018,99999.0
REGION1,DEMPWRCOA,2019,99999.0
REGION1,DEMPWRCOA,2020,99999.0
REGION1,DEMPWRCOA,2021,99999.0
REGION1,DEMPWRCOA,2022,99999.0
REGION1,DEMPWRCOA,2023,99999.0
REGION1,DEMPWRCOA,2024,99999.0
REGION1,DEMPWRCOA,2025,99999.0
REGION1,DEMPWRCOA,2026,99999.0
REGION1,DEMPWRCOA,2027,99999.0
REGION1,DEMPWRCOA,2028,99999.0
REGION1,DEMPWRCOA,2029,99999.0
REGION1,DEMPWRCOA,2030,99999.0
REGION1,DEMPWRCOA,2031,99999.0
REGION1,DEMPWRCOA,2032,99999.0
