r,t,y,SalvageValue
Region1,DEMPUBWATR25,2029,0.0
Region1,DEMPUBWATR25,2030,0.0
Region1,DEMPUBWATR26,2014,0.0001
Region1,DEMPUBWATR26,2015,0.0
Region1,DEMPUBWATR26,2016,0.0
Region1,DEMPUBWATR26,2017,0.0
Region1,DEMPUBWATR26,2018,0.0
Region1,DEMPUBWATR26,2019,0.0
Region1,DEMPUBWATR26,2020,0.0
Region1,DEMPUBWATR26,2021,0.0
Region1,DEMPUBWATR26,2022,0.0
Region1,DEMPUBWATR26,2023,0.0
Region1,DEMPUBWATR26,2024,0.0
Region1,DEMPUBWATR26,2025,0.0
Region1,DEMPUBWATR26,2026,0.0
Region1,DEMPUBWATR26,2027,0.0
Region1,DEMPUBWATR26,2028,0.0
Region1,DEMPUBWATR26,2029,0.0
Region1,DEMPUBWATR26,2030,0.0
Region1,DEMPUBWATR27,2014,0.0
Region1,DEMPUBWATR27,2016,0.0
Region1,DEMPUBWATR27,2017,0.0
Region1,DEMPUBWATR27,2018,0.0
Region1,DEMPUBWATR27,2019,0.0
Region1,DEMPUBWATR27,2020,0.0
Region1,DEMPUBWATR27,2021,0.0
Region1,DEMPUBWATR27,2022,0.0
Region1,DEMPUBWATR27,2023,0.0
Region1,DEMPUBWATR27,2024,0.0
Region1,DEMPUBWATR27,2025,0.0
Region1,DEMPUBWATR27,2026,0.0
Region1,DEMPUBWATR27,2027,0.0
Region1,DEMPUBWATR27,2028,0.0
Region1,DEMPUBWATR27,2029,0.0
Region1,DEMPUBWATR27,2030,0.0
Region1,DEMPUBWATR28,2014,0.0
Region1,DEMPUBWATR28,2015,0.0
Region1,DEMPUBWATR28,2016,0.0
Region1,DEMPUBWATR28,2017,0.0
Region1,DEMPUBWATR28,2018,0.0
Region1,DEMPUBWATR28,2019,0.0
Region1,DEMPUBWATR28,2020,0.0
Region1,DEMPUBWATR28,2021,0.0
Region1,DEMPUBWATR28,2022,0.0
Region1,DEMPUBWATR28,2023,0.0
Region1,DEMPUBWATR28,2024,0.0
Region1,DEMPUBWATR28,2025,0.0
Region1,DEMPUBWATR28,2026,0.0
Region1,DEMPUBWATR28,2027,0.0
Region1,DEMPUBWATR28,2028,0.0
Region1,DEMPUBWATR28,2029,0.0
