r,t,y,DiscountedSalvageValue
REGION1,DEMRESELCL02,2021,52.4772
REGION1,DEMRESELCL02,2022,52.5199
REGION1,DEMRESELCL02,2023,52.5592
REGION1,DEMRESELCL02,2024,52.5952
REGION1,DEMRESELCL02,2025,52.6282
REGION1,DEMRESELCL02,2026,52.6583
REGION1,DEMRESELCL02,2027,52.6859
REGION1,DEMRESELCL02,2028,52.7111
REGION1,DEMRESELCL02,2029,52.734
REGION1,DEMRESELCL02,2030,52.7549
REGION1,DEMRESELCM02,2015,87.5808
REGION1,DEMRESELCM02,2017,5.039
REGION1,DEMRESELCM02,2018,5.0457
REGION1,DEMRESELCM02,2019,5.0518
REGION1,DEMRESELCM02,2020,5.0575
REGION1,DEMRESELCM02,2021,7.9804
REGION1,DEMRESELCM02,2022,7.9869
REGION1,DEMRESELCM02,2023,7.9929
REGION1,DEMRESELCM02,2024,7.9984
REGION1,DEMRESELCM02,2025,8.0034
REGION1,DEMRESELCM02,2026,8.008
REGION1,DEMRESELCM02,2027,8.0122
REGION1,DEMRESELCM02,2028,8.016
REGION1,DEMRESELCM02,2029,8.0195
REGION1,DEMRESELCM02,2030,8.0226
REGION1,DEMRESELCN02,2015,433.9256
REGION1,DEMRESELCN02,2017,24.9663
REGION1,DEMRESELCN02,2018,24.9994
REGION1,DEMRESELCN02,2019,25.0297
REGION1,DEMRESELCN02,2020,25.0576
REGION1,DEMRESELCN02,2021,39.5395
REGION1,DEMRESELCN02,2022,39.5717
REGION1,DEMRESELCN02,2023,39.6013
REGION1,DEMRESELCN02,2024,39.6285
REGION1,DEMRESELCN02,2025,39.6533
REGION1,DEMRESELCN02,2026,39.676
REGION1,DEMRESELCN02,2027,39.6968
REGION1,DEMRESELCN02,2028,39.7158
REGION1,DEMRESELCN02,2029,39.7331
REGION1,DEMRESELCN02,2030,39.7488
REGION1,DEMRESELCP02,2015,123.5407
REGION1,DEMRESELCP02,2017,7.108
REGION1,DEMRESELCP02,2018,7.1174
REGION1,DEMRESELCP02,2019,7.1261
REGION1,DEMRESELCP02,2020,7.134
REGION1,DEMRESELCP02,2021,11.2571
REGION1,DEMRESELCP02,2022,11.2663
REGION1,DEMRESELCP02,2023,11.2747
REGION1,DEMRESELCP02,2024,11.2824
REGION1,DEMRESELCP02,2025,11.2895
REGION1,DEMRESELCP02,2026,11.296
REGION1,DEMRESELCP02,2027,11.3019
REGION1,DEMRESELCP02,2028,11.3073
REGION1,DEMRESELCP02,2029,11.3122
REGION1,DEMRESELCP02,2030,11.3167
REGION1,DEMRESELCS02,2015,1699.7631
REGION1,DEMRESELCS02,2017,97.7974
REGION1,DEMRESELCS02,2018,97.9269
REGION1,DEMRESELCS02,2019,98.0458
REGION1,DEMRESELCS02,2020,98.1549
REGION1,DEMRESELCS02,2021,154.8834
REGION1,DEMRESELCS02,2022,155.0095
REGION1,DEMRESELCS02,2023,155.1253
REGION1,DEMRESELCS02,2024,155.2316
REGION1,DEMRESELCS02,2025,155.329
REGION1,DEMRESELCS02,2026,155.418
REGION1,DEMRESELCS02,2027,155.4994
REGION1,DEMRESELCS02,2028,155.5737
REGION1,DEMRESELCS02,2029,155.6415
REGION1,DEMRESELCS02,2030,155.7032
REGION1,LNDBLTJWA,2017,0.8887
REGION1,LNDBLTJWA,2018,1.8139
REGION1,LNDBLTJWA,2019,2.0565
REGION1,LNDBLTJWA,2020,2.632
REGION1,LNDBLTJWA,2021,3.16
REGION1,LNDBLTJWA,2022,3.7846
REGION1,LNDBLTJWA,2023,4.0888
REGION1,LNDBLTJWA,2024,4.6695
REGION1,LNDBLTJWA,2025,5.058
REGION1,LNDBLTJWA,2026,5.4143
REGION1,LNDBLTJWA,2027,5.9539
REGION1,LNDBLTJWA,2028,6.0412
REGION1,LNDBLTJWA,2029,4.9128
REGION1,LNDBLTJWA,2030,439.1652
REGION1,LNDCP01HRIND,2020,24.0078
REGION1,LNDCP01HRIND,2021,44.173
REGION1,LNDCP01HRIND,2022,48.2471
REGION1,LNDCP01HRIND,2023,53.6645
REGION1,LNDCP01HRIND,2024,58.8535
REGION1,LNDCP01HRIND,2025,63.8625
REGION1,LNDCP01HRIND,2026,67.4968
REGION1,LNDCP01HRIND,2027,71.4282
REGION1,LNDCP01HRIND,2028,74.6472
REGION1,LNDCP01HRIND,2029,77.8376
REGION1,LNDCP01HRIND,2030,80.3628
REGION1,LNDCP02HIIND,2017,0.6503
REGION1,LNDCP02HIIND,2018,1.2743
REGION1,LNDCP02HIIND,2019,1.8751
REGION1,LNDCP02HIIND,2020,2.4557
REGION1,LNDCP02HIIND,2021,3.0187
REGION1,LNDCP02HIIND,2022,3.5665
REGION1,LNDCP02HIIND,2023,4.1017
REGION1,LNDCP02HIIND,2024,4.6266
REGION1,LNDCP02HIIND,2025,5.1431
REGION1,LNDCP02HIIND,2026,5.6536
REGION1,LNDCP02HIIND,2027,6.1598
REGION1,LNDCP02HIIND,2028,6.6637
REGION1,LNDCP02HIIND,2029,7.1672
